成交日期,地址,社區名稱,樓層,坪數,總價(萬),單價(萬/坪),屋齡(年),格局
2025/10,文化路二段168號,明日馥,15F/24F,33.5,1742,52.0,8,2房2廳1衛
2025/09,新府路45號,新板傑仕堡,20F/28F,48.2,2892,60.0,6,3房2廳2衛
2025/08,中山路一段200號,板橋中山,4F/7F,28.3,1132,40.0,32,2房1廳1衛
2025/07,民權路180巷,民權新城,8F/14F,35.6,1780,50.0,12,2房2廳1衛
2025/05,文化路一段88號,文化天廈,12F/18F,42.0,2310,55.0,10,3房2廳1衛
2025/04,中正路320號,中正公寓,3F/5F,25.8,774,30.0,40,2房1廳1衛
2025/03,館前東路55號,新板特區A,18F/24F,55.0,3300,60.0,7,3房2廳2衛
2025/01,民生路二段120號,民生大觀,6F/12F,30.2,1359,45.0,18,2房1廳1衛
2024/11,四川路一段68號,四川名人,10F/15F,38.8,1940,50.0,15,2房2廳1衛
2024/09,新站路16號,新站君悅,22F/26F,50.5,3030,60.0,5,3房2廳2衛
2024/07,文化路二段200號,明日馥,8F/24F,32.0,1600,50.0,8,2房2廳1衛
2024/06,漢生東路100號,漢生花園,5F/10F,35.0,1575,45.0,20,3房1廳1衛
2024/04,南雅南路二段50號,府中棧,7F/12F,28.5,1425,50.0,16,2房1廳1衛
2024/02,大觀路一段30號,大觀新城,3F/7F,22.0,660,30.0,35,1房1廳1衛
2023/12,新府路80號,新板鼎曜,25F/30F,62.3,3738,60.0,4,3房2廳2衛
2023/10,民權路200號,民權御品,9F/14F,40.5,2025,50.0,10,3房2廳1衛
2023/08,中山路一段150巷,中山翠堤,6F/12F,33.2,1328,40.0,22,2房2廳1衛
2023/05,文化路一段120號,文化大第,14F/20F,45.8,2290,50.0,8,3房2廳2衛
2023/03,重慶路150號,重慶天廈,11F/18F,38.0,1710,45.0,13,2房2廳1衛
2023/01,四川路二段88號,四川碧園,4F/7F,26.5,927,35.0,28,2房1廳1衛
