成交日期,地址,社區名稱,樓層,坪數,總價(萬),單價(萬/坪),屋齡(年),格局
2025/10,信義路五段15巷,翠亨村,8F/14F,45.2,4520,100.0,18,3房2廳2衛
2025/09,松仁路88號,信義之星,22F/28F,68.5,10960,160.0,12,3房2廳2衛
2025/08,基隆路二段33巷,基隆路公寓,3F/5F,28.6,1716,60.0,38,2房1廳1衛
2025/07,吳興街220巷,吳興國宅,5F/12F,32.1,2086,65.0,30,3房1廳1衛
2025/06,松德路160號,松德大苑,15F/22F,52.3,5753,110.0,10,3房2廳2衛
2025/04,信義路五段22號,信義華廈,6F/10F,38.7,3096,80.0,22,2房2廳1衛
2025/02,松高路12號,國泰信義,18F/25F,55.8,6696,120.0,8,3房2廳2衛
2024/11,永吉路300巷,永吉新城,4F/7F,25.4,1778,70.0,25,2房1廳1衛
2024/08,松仁路55巷,松仁翠庭,10F/16F,42.0,3780,90.0,15,2房2廳1衛
2024/05,信義路五段8巷,翠亨村,12F/14F,48.6,4617,95.0,17,3房2廳2衛
2024/03,莊敬路280號,莊敬大樓,7F/12F,35.8,2864,80.0,28,2房2廳1衛
2024/01,松德路95巷,松德花園,11F/18F,40.2,3618,90.0,14,2房2廳1衛
2023/11,信義路五段50號,信義名廈,3F/8F,55.0,4950,90.0,20,3房2廳2衛
2023/09,松仁路100號,松仁御所,20F/26F,72.3,11568,160.0,6,4房2廳2衛
2023/07,逸仙路42巷,逸仙花園,6F/12F,33.5,2680,80.0,22,2房1廳1衛
2023/05,吳興街180號,吳興新城,9F/15F,28.9,2023,70.0,18,2房1廳1衛
2023/03,松高路28號,松高名邸,16F/22F,60.1,7212,120.0,9,3房2廳2衛
2023/02,基隆路一段155巷,基隆花園,4F/7F,30.5,1830,60.0,35,2房1廳1衛
2023/01,信義路四段300巷,信義之冠,13F/20F,50.0,5500,110.0,11,3房2廳2衛
2022/12,永吉路250號,永吉馥園,2F/5F,22.8,1596,70.0,32,1房1廳1衛
